thread_id, libro_id, cantidad_palabras, timestamp_inicio_ms, timestamp_termino_ms
128123955820224, 6, 5164, 1761689851475, 1761689851497
128123955820224, 7, 5164, 1761689851497, 1761689851522
128123955820224, 8, 1533, 1761689851522, 1761689851530
128123972605632, 4, 27336, 1761689851474, 1761689851572
128123955820224, 9, 66903, 1761689851530, 1761689851759
128123964212928, 5, 113718, 1761689851474, 1761689851858
128123989391040, 1, 138490, 1761689851474, 1761689851975
128123955820224, 10, 102300, 1761689851759, 1761689852163
128123955820224, 11, 3148, 1761689852163, 1761689852177
128123955820224, 12, 1672, 1761689852177, 1761689852187
128123980998336, 3, 198308, 1761689851474, 1761689852203
128123972605632, 13, 190838, 1761689851577, 1761689852367
128123972605632, 14, 0, 1761689852367, 1761689852368
128123972605632, 15, 0, 1761689852368, 1761689852370
128123964212928, 23, 142408, 1761689851871, 1761689852416
128123980998336, 43, 62353, 1761689852230, 1761689852466
128123980998336, 44, 13141, 1761689852466, 1761689852517
128123955820224, 33, 84928, 1761689852217, 1761689852522
128123989391040, 2, 198308, 1761689851975, 1761689852734
128123980998336, 45, 67836, 1761689852517, 1761689852776
128123980998336, 46, 1809, 1761689852776, 1761689852784
128123955820224, 34, 90712, 1761689852522, 1761689852862
128123989391040, 53, 28273, 1761689852763, 1761689852872
128123955820224, 35, 11726, 1761689852862, 1761689852909
128123989391040, 54, 28273, 1761689852872, 1761689852990
128123989391040, 55, 2682, 1761689852990, 1761689853006
128123989391040, 56, 2682, 1761689853006, 1761689853019
128123972605632, 16, 183421, 1761689852370, 1761689853058
128123964212928, 24, 166985, 1761689852416, 1761689853066
128123980998336, 47, 76505, 1761689852784, 1761689853107
128123964212928, 25, 13953, 1761689853066, 1761689853125
128123955820224, 36, 53657, 1761689852909, 1761689853129
128123955820224, 37, 0, 1761689853129, 1761689853131
128123964212928, 26, 2394, 1761689853125, 1761689853137
128123989391040, 57, 50093, 1761689853019, 1761689853213
128123980998336, 48, 59965, 1761689853107, 1761689853340
128123964212928, 27, 62353, 1761689853137, 1761689853378
128123989391040, 58, 50093, 1761689853213, 1761689853402
128123964212928, 28, 13141, 1761689853378, 1761689853424
128123964212928, 29, 1809, 1761689853424, 1761689853432
128123955820224, 38, 89534, 1761689853131, 1761689853468
128123955820224, 39, 2394, 1761689853468, 1761689853483
128123972605632, 17, 161608, 1761689853058, 1761689853647
128123964212928, 30, 59965, 1761689853432, 1761689853673
128123955820224, 40, 53539, 1761689853483, 1761689853700
