(18,2),(8,2),(-1,-1),(-1,-1),1v1,79,1
(16,1),(2,0),(1,1),(0,0),2v2,152,0
(9,4),(6,8),(-1,-1),(-1,-1),1v1,125,13
(10,2),(8,3),(6,5),(4,5),2v2,252,9
(9,6),(5,7),(-1,-1),(-1,-1),1v1,115,12
(11,4),(7,3),(9,5),(5,6),2v2,324,14
(9,3),(7,5),(-1,-1),(-1,-1),1v1,160,12
(4,9),(9,8),(-1,-1),(-1,-1),1v1,198,17
(6,4),(12,3),(9,4),(6,6),2v2,331,16
(3,7),(9,6),(-1,-1),(-1,-1),1v1,127,13
(8,3),(10,2),(9,4),(7,7),2v2,355,14
(6,9),(9,4),(-1,-1),(-1,-1),1v1,118,13
(7,3),(11,3),(10,4),(4,6),2v2,312,15
(4,7),(9,6),(-1,-1),(-1,-1),1v1,134,13
(10,2),(8,2),(9,7),(3,6),2v2,272,11
(7,6),(9,4),(-1,-1),(-1,-1),1v1,111,13
(5,5),(13,4),(7,6),(5,7),2v2,348,14
(9,5),(3,8),(-1,-1),(-1,-1),1v1,126,12
(6,6),(12,3),(11,4),(3,8),2v2,303,14
(8,7),(9,6),(-1,-1),(-1,-1),1v1,168,15
(14,2),(4,3),(10,4),(3,7),2v2,252,13
(9,4),(5,8),(-1,-1),(-1,-1),1v1,118,13
(9,4),(9,3),(11,4),(1,8),2v2,307,14
(6,8),(9,6),(-1,-1),(-1,-1),1v1,154,14
(8,4),(10,5),(9,7),(5,6),2v2,342,15
(9,3),(8,7),(-1,-1),(-1,-1),1v1,107,12
(7,6),(11,2),(5,8),(6,7),2v2,318,15
(4,8),(9,3),(-1,-1),(-1,-1),1v1,134,12
(12,2),(6,5),(8,6),(7,7),2v2,339,15
(9,7),(7,8),(-1,-1),(-1,-1),1v1,179,16
